budget,imdb_id,original_language,runtime,revenue,genres1,genres2,genres3,prod1,prod2,prod3,weekday,month,year,day,cast1,cast2,cast3,cast4,cast5,director,producer,budget_log
1500000,tt0100053,3,94.0,2239830,1,4,5,2242,0,0,4,2,1990,9,193,707,6844,780,18331,12698,28715,14.220976332738882
25000000,tt0165929,3,115.0,18014503,1,5,17,1966,2371,0,0,3,2000,20,1336,21352,21353,21354,21355,10765,-1,17.034386422832473
40000000,tt0889588,21,125.0,42755,7,18,0,175,2461,1393,3,7,2008,3,1244,8329,1619,1620,-1,1724,-1,17.50439003707821
2400000,tt0116404,3,120.0,2156409,7,0,0,480,26,0,2,10,1996,16,15531,17764,6861,32396,93538,5281,-1,14.690979711984754
65000000,tt1231583,3,95.0,32689406,4,7,0,1212,899,2371,3,11,2010,4,3223,58225,11705,134,3196,57130,57132,17.989897843244528
9000000,tt0110759,3,79.0,2129483,4,0,0,1629,0,0,4,4,1994,29,12799,27504,60950,64999,5601,7678,18344,16.012735246411598
110000000,tt0290334,3,133.0,85558731,2,1,16,2264,621,204,3,4,2003,24,2387,6968,1327,4587,10696,9032,2095,18.5159909328476
0,tt0335119,3,101.0,89472,7,15,0,2409,136,576,6,8,2003,31,1245,5472,2037,207,33448,16785,33442,0.0
4000000,tt3181822,3,91.0,14910105,17,0,0,2299,1513,287,4,1,2015,23,16866,932091,1348957,38405,52775,18878,16866,15.201805169084134
63600000,tt0208988,3,102.0,6637830,1,7,17,819,2371,1421,4,10,2000,6,16483,8436,38581,2295,12796,56435,1059,17.968124044033623
32000000,tt0114214,3,107.0,6515861,1,19,0,2242,0,0,3,2,1995,9,4430,193,934,6193,2144,7623,71262,17.281246492014
0,tt0094846,3,88.0,3840032,4,15,0,2299,1098,0,4,4,1988,22,1063,30366,57906,27862,4156,31152,-1,0.0
9000000,tt0128445,3,93.0,43666,4,7,0,2229,0,0,3,9,1998,17,17881,11616,1532,5950,15252,5655,18344,16.012735246411598
40000000,tt0444682,3,99.0,10025203,17,12,0,2332,543,2371,3,4,2007,5,448,18616,17605,1285,9029,2042,62739,17.50439003707821
19000000,tt0404032,3,122.0,30054300,5,7,12,1185,777,1909,4,9,2005,9,350,207,55152,53828,6074,55499,55500,16.759949589762293
0,tt0089822,3,87.0,10675896,4,5,0,2371,2163,0,3,3,1985,28,26472,57349,57353,14672,95024,41720,33096,0.0
0,tt0093223,3,102.0,116677,5,7,14,771,0,0,6,10,1987,11,32225,3266,9628,22131,10743,1255,-1,0.0
11000000,tt0102782,3,98.0,1277428,2,0,0,481,1701,0,4,8,1991,2,63,69405,115888,115889,76239,83467,1216871,16.213405921671733
90000000,tt0134983,3,91.0,5778639,12,16,17,2290,1369,926,4,1,2000,14,13548,9780,5694,38560,56857,62020,141483,18.31532023940565
0,tt0118762,3,74.0,56224,7,15,0,2036,0,0,4,3,1997,7,33623,37006,16501,7132,39015,1175207,56947,0.0
32000000,tt0097742,3,133.0,8774776,2,1,17,691,0,0,4,7,1989,7,10669,10679,2055,10680,2516,10179,69678,17.281246492014
0,tt0102598,3,104.0,5997993,4,15,0,2264,980,0,4,5,1991,24,7180,70035,12851,14721,47137,10965,18350,0.0
82500000,tt0389860,3,107.0,40011365,4,7,9,1548,481,1805,3,6,2006,22,19292,3967,4690,28238,31903,57370,20821,18.228308863426122
5000000,tt0425601,3,95.0,1200000,4,0,0,81,0,0,4,10,2006,6,60971,60966,1219130,60973,60970,60962,60962,15.424948670398354
40000000,tt1586265,3,110.0,10547068,15,4,7,71,1244,1656,3,5,2012,17,6941,16866,9281,84223,131520,64045,29016,17.50439003707821
0,tt2112096,3,91.0,1861118,4,0,0,813,308,0,4,7,2016,1,12094,34901,53328,47743,34902,1229085,1214466,0.0
0,tt0086192,3,90.0,2114125,1,5,7,367,366,1369,2,9,1983,7,99846,583562,8954,98437,17653,72543,33009,0.0
60000000,tt0443632,3,108.0,14367854,1,17,5,2264,638,1309,2,4,2006,19,3392,2628,52605,42993,326,47640,1472450,17.909855136853043
24000000,tt0217756,3,107.0,5257778,1,4,7,236,2371,0,4,4,2000,7,15234,1894,17485,16850,65236,53177,35178,16.993564429978885
85000000,tt0413895,3,97.0,11457353,4,8,9,1602,1144,0,4,12,2006,15,1204,884,8930,13309,5726,17046,61483,18.258161826219297
55000000,tt1621039,3,91.0,15805237,3,4,8,1783,1789,0,2,10,2013,30,887,57755,56322,1752,17782,8029,-1,17.822843761378564
75000000,tt0462538,3,87.0,74036787,3,4,8,885,2264,0,2,7,2007,25,198,199,200,5586,5587,197,1219059,18.132998684833918
3200000,tt0089730,3,94.0,4025657,12,4,15,1492,0,0,4,11,1985,15,206,27964,145747,68091,55931,84047,-1,14.978661680269907
0,tt0102592,3,105.0,44545,5,7,17,1000,0,0,4,5,1992,8,2053,879,87117,87118,79740,21712,58266,0.0
0,tt0109327,3,96.0,1725000,9,12,16,60,499,2251,4,4,1994,22,820,8924,140378,92728,166476,38689,58275,0.0
100000000,tt0317648,3,136.0,18829435,19,2,0,388,2229,640,4,3,2004,5,110,20803,5004,20804,20805,4945,20802,18.420680753952364
22000000,tt0118604,3,105.0,7600878,12,4,0,971,487,0,3,12,1997,25,16857,1146,58381,31171,154072,58384,-1,16.906553056777135
6700000,tt2077833,7,143.0,381784,1,0,0,1863,0,0,4,6,2012,1,35070,130958,130111,92686,213431,89154,1191609,15.717618233614914
35000000,tt2024432,3,111.0,34551025,4,5,0,2064,64,636,3,2,2013,7,23532,55536,15277,2956,76126,71600,23532,17.370858648025116
2600000,tt0389326,3,105.0,134400,6,0,0,0,0,0,4,7,2004,9,4322,4323,4324,4325,4326,4319,4337,14.77102238760702
0,tt0102343,3,97.0,416641,4,15,0,2264,1638,0,4,11,1992,13,18277,15455,10774,21485,88168,14089,14089,0.0
50000000,tt1502404,3,105.0,5187625,9,17,1,2074,1894,1509,3,2,2011,24,2963,55085,886,21029,52,27226,550112,17.72753358339242
7500000,tt1174732,3,100.0,159017,7,15,0,192,0,0,3,10,2009,29,36662,11616,133,658,2617,1176,-1,15.830413711839864
14000000,tt0113463,3,139.0,61349,7,15,0,1365,2229,0,4,3,1995,31,1733,21245,9030,12052,18766,54441,54448,16.454567959008102
110000000,tt0327437,3,120.0,7576132,1,2,4,2066,2360,196,2,6,2004,16,18897,4581,17522,64160,388,57370,35510,18.5159909328476
800000,tt0108000,3,114.0,25297,7,15,0,1852,828,0,4,10,1993,8,15852,5010,127544,19488,167736,138322,-1,13.592368256649284
0,tt0768212,3,94.0,10024819,2,8,0,1476,1377,0,4,2,2007,9,23417,23418,20810,16327,11678,13663,12433,0.0
15000000,tt0117826,3,87.0,2634170,12,4,0,2299,2102,2297,4,8,1996,16,18326,23764,58312,3034,2395,10953,10953,16.52356082573315
20000000,tt0303933,3,118.0,12604705,7,15,4,807,0,0,4,12,2002,13,36811,8691,18270,83859,60847,80215,84126,16.811242881518265
0,tt0118900,3,102.0,2443237,1,7,0,1551,1162,0,2,10,1997,8,26485,54422,51359,6065,15152,21155,58201,0.0
0,tt0113321,3,103.0,4007717,4,7,15,1602,666,1682,3,11,1995,2,18686,3223,10774,1466,6194,1038,56947,0.0
19000000,tt1135985,3,109.0,3607164,4,2,15,2074,85,873,3,10,2008,16,62816,58370,54729,11006,13922,74619,1239497,16.759949589762293
102000000,tt0244244,3,99.0,18145632,1,5,17,2332,1453,1966,3,6,2001,7,8891,6968,4587,1896,9880,58498,14093,18.440483381052466
98000000,tt0112760,3,119.0,2371415,1,2,0,1208,1204,1369,4,12,1995,22,16935,8654,8924,7868,8979,16938,22706,18.400478046838927
8500000,tt0331953,3,104.0,3035688,4,12,0,813,315,471,4,2,2004,27,56251,52049,56253,56252,68634,52049,56597,15.955576839107596
55000000,tt2719848,3,121.0,7222035,2,7,0,2299,2431,2360,3,9,2015,10,76512,131,16851,16861,65731,67813,158401,17.822843761378564
0,tt0096003,3,99.0,60523,7,8,0,481,0,0,4,9,1988,2,13784,2179,1276,4432,11281,40549,-1,0.0
15000000,tt0307901,3,135.0,108865,5,7,0,26,2229,0,0,12,2002,16,819,1233,12834,5916,10690,5281,27038,16.52356082573315
15000000,tt0758758,3,148.0,212440,2,7,0,1603,1822,144,1,9,2007,11,46593,4726,227,20089,46594,2228,-1,16.52356082573315
40000000,tt0457495,3,93.0,215177,2,1,8,1076,2387,1883,4,7,2006,21,61363,33397,3061,1923,11275,61357,15247,17.50439003707821
21000000,tt1650043,3,99.0,23751502,8,4,0,807,479,0,4,3,2011,25,89819,90498,46074,111922,18324,33183,-1,16.860033043306743
72500000,tt0415306,3,116.0,47042215,4,0,0,480,123,0,4,8,2006,4,23659,4764,6730,21163,61981,55710,61397,18.099097133618006
12000000,tt0100114,3,94.0,11790047,1,17,0,2264,2052,2326,4,10,1990,5,23880,16754,65827,55270,36059,56998,10058,16.300417291085605
50000000,tt1392197,3,87.0,11599661,8,4,0,2264,0,0,4,6,2010,4,887,54693,41798,54691,4581,46076,2043,17.72753358339242
65000000,tt0128853,3,119.0,18426749,4,15,0,2371,0,0,3,12,1998,17,31,5344,57676,17141,7489,9248,9248,17.989897843244528
0,tt1824254,3,127.0,27689,6,0,0,2299,2301,1110,4,5,2013,24,150882,1353532,1353537,71797,1714361,71797,1624414,0.0
0,tt0200469,3,91.0,4717902,12,17,0,583,0,0,4,10,1999,22,38560,2133,4029,12974,52930,65420,56327,0.0
12000000,tt0120722,3,100.0,169747,4,7,15,1476,1108,0,4,10,1998,30,18686,518,15758,42993,38581,2163,5382,16.300417291085605
7000000,tt1855199,3,109.0,13152683,5,7,17,679,714,947,3,9,2012,20,131,454,76511,84223,35029,19769,1095253,15.76142084987672
0,tt0109758,3,113.0,3012695,17,4,5,1895,0,0,4,10,1994,14,65002,24589,12929,707,1210,1201,58103,0.0
24000000,tt0326769,3,110.0,10106992,1,7,0,633,0,0,4,1,2003,31,2975,15543,18270,938,3232,71943,10950,16.993564429978885
28000000,tt0111419,3,87.0,2318822,3,7,8,2371,617,0,2,3,1994,30,63978,74492,148115,148116,29314,40345,-1,17.147715103853763
6000000,tt0109831,3,117.0,138486,4,7,15,411,1682,2431,2,3,1994,9,3291,1533,10726,4001,10727,10723,7019,15.607270193858982
16000000,tt0427470,3,99.0,2017795,5,7,17,1402,2029,0,4,3,2007,9,24045,8447,1247,52848,17832,2199,54239,16.588099342704055
160000000,tt1951266,3,137.0,102665981,1,2,16,2066,1244,479,2,11,2015,18,72129,27972,96066,57755,9281,10943,935634,18.8906843794481
60000000,tt0259288,3,104.0,10216025,7,0,0,2299,2029,1933,4,2,2002,22,1269,3977,12122,62547,8534,4499,62545,17.909855136853043
25000000,tt0306685,3,101.0,16521468,1,5,7,1966,2371,0,4,2,2003,28,1336,21355,11024,18471,74036,10765,1091,17.034386422832473
3000000,tt0102849,3,89.0,3825068,4,0,0,2229,1971,0,4,2,1991,22,1243,73931,58549,47773,1430985,47773,47773,14.914123179965662
11000000,tt0100814,3,96.0,3731520,1,12,0,2299,1498,0,4,1,1990,19,4724,10430,57453,67015,21986,33485,26479,16.213405921671733
0,tt0107057,3,107.0,5713708,7,17,0,971,0,0,4,6,1993,4,28412,25129,13314,32747,5251,39996,-1,0.0
0,tt0094792,3,101.0,2208116,1,18,0,867,2141,0,4,1,1988,22,51576,41757,129610,129611,39784,51572,33009,0.0
100000000,tt0217505,3,167.0,9496870,7,11,5,1402,1047,70,5,12,2002,14,6193,11856,6941,3896,2039,1032,34336,18.420680753952364
100000000,tt0386117,3,101.0,32695407,8,9,0,2332,1212,1670,4,10,2009,16,80576,2229,54470,4691,11514,5953,110564,18.420680753952364
108000000,tt2361317,3,129.0,33336,5,7,0,129,2371,1632,6,12,2016,25,880,18050,2039,61659,23459,880,550,18.497641794347754
26000000,tt0322330,3,97.0,22203007,4,0,0,2366,913,393,6,8,2003,3,8944,49265,19728,14833,159985,54050,64830,17.073607134447293
16000000,tt0380277,3,97.0,5000900,4,7,0,496,0,0,4,9,2004,3,61658,51857,15899,55265,230176,302339,84108,16.588099342704055
175000000,tt3606752,3,109.0,53688680,8,4,3,2366,1664,0,3,6,2017,15,887,1374727,2955,53807,5149,1443386,57673,18.980296537602072
55000000,tt0824747,3,141.0,489015,5,7,14,1015,1312,1789,2,1,2008,30,11701,52886,6949,25879,39388,190,6159,17.822843761378564
60000000,tt1430626,3,88.0,11137734,3,2,8,480,50,2001,0,3,2012,12,3291,2039,12799,8318,3136,565297,-1,17.909855136853043
115000000,tt1535108,3,109.0,29807393,16,1,7,2242,1350,2004,2,8,2013,7,1892,1038,82191,8602,8688,82194,82194,18.560442695023177
85000000,tt1667353,3,106.0,18132085,2,9,7,1789,1403,2453,3,3,2012,15,1204,112561,53807,78729,4030,56512,1125540,18.258161826219297
135000000,tt1663202,3,156.0,474560,19,7,2,1785,129,395,4,12,2015,25,6193,2524,93491,93210,220448,223,114408,18.72078534381011
12000000,tt0093596,3,83.0,2188857,1,4,15,2242,0,0,4,8,1987,7,1229,326,9626,54122,21104,6729,-1,16.300417291085605
26000000,tt0116313,3,102.0,18913411,4,0,0,1905,0,0,4,9,1996,20,18892,73931,3092,10978,6486,28904,2997,17.073607134447293
40000000,tt1657507,3,108.0,10408176,1,17,5,2093,360,453,2,7,2011,27,8691,7248,68287,15424,1120,75035,1119463,17.50439003707821
15000000,tt1555064,3,117.0,30452,7,15,0,1303,1909,2005,2,12,2010,22,12052,9828,74428,85825,974334,129718,956624,16.52356082573315
25000000,tt1647668,3,124.0,10515659,7,0,0,2366,0,0,4,5,2014,9,65717,2053,25703,933160,20644,50767,-1,17.034386422832473
27000000,tt0119468,3,115.0,13215167,7,14,17,1602,1857,0,4,10,1997,3,192,15852,2130,58293,3417,5501,69668,17.11134746100564
60000000,tt1205537,3,105.0,15451981,1,7,17,1602,594,1290,2,1,2014,15,62064,116,1269,11181,12766,11181,24309,17.909855136853043
0,tt0094678,3,113.0,5150962,4,15,0,2371,0,0,4,7,1988,8,56819,66776,11857,30226,786,69946,-1,0.0
36000000,tt4682786,3,97.0,7102085,7,15,0,1476,2332,1233,1,12,2016,6,2888,819,204,454,15735,5065,1729689,17.399029524198163
110000000,tt1860357,3,107.0,20223544,7,1,0,594,2074,1613,3,9,2016,29,13240,6856,6949,180486,527393,36602,42736,18.5159909328476
20500000,tt0450314,3,102.0,4271451,1,5,0,1244,1282,1333,4,12,2008,5,56614,17287,35551,5414,6806,56359,869,16.835935492889124
130000000,tt0318649,3,124.0,18068372,1,2,4,1602,306,208,2,4,2005,6,10297,955,18324,3905,1120,52609,53300,18.683045016112164
65000000,tt0380510,3,136.0,116616,9,7,0,2419,634,1147,5,12,2009,26,3293,13240,4038,36592,2283,108,1128254,17.989897843244528
0,tt3882074,3,87.0,52574,8,6,2,1154,2033,0,2,11,2016,2,1570918,1570920,1570922,1315036,-1,1567186,1567186,0.0
15400000,tt2053425,5,123.0,27154,7,15,0,816,2404,1217,3,5,2012,17,8293,73381,47822,72255,1033671,17496,1123783,16.54987813231892
90000000,tt0140352,3,157.0,6712361,7,17,0,2029,803,1128,3,10,1999,28,1158,934,290,6200,14888,638,638,18.31532023940565
7000,tt0390384,3,77.0,28162,16,7,17,2185,0,0,4,10,2004,8,76624,76625,110171,110172,110173,76624,76624,8.853808274977197
12000000,tt1929263,3,99.0,22522221,7,0,0,2242,1909,1845,2,4,2014,16,17141,17521,1271809,19159,945302,2460,18311,16.300417291085605
3300000,tt2918436,3,83.0,10203437,17,12,0,1244,287,414,3,1,2015,29,59315,45407,119589,55089,33397,928915,1525142,15.009433329466965
40000000,tt0159273,3,106.0,18736133,1,7,17,2264,556,0,5,11,2001,17,887,193,16856,53572,18181,12028,2043,17.50439003707821
4500000,tt0088680,3,97.0,45435,4,17,7,625,846,0,4,9,1985,13,2171,2165,55192,63208,9625,1032,2556,15.319588176962746
14000000,tt0100150,3,115.0,28202,7,17,5,2264,454,0,4,9,1990,21,1241,5168,4726,884,3926,1223,1224,16.454567959008102
35000000,tt0361089,3,76.0,5914722,3,8,2,2311,1896,0,4,3,2005,25,3061,17835,13472,388,41419,80691,-1,17.370858648025116
100000000,tt0450259,3,143.0,8648324,7,17,1,231,1254,2337,3,12,2006,7,6193,938,6161,16742,16743,9181,1117282,18.420680753952364
74500000,tt0338512,3,109.0,6144160,2,7,8,1627,2093,360,2,4,2004,7,20526,529,20527,20528,20529,2352,2359,18.126309696772605
0,tt1781769,3,130.0,320690,7,15,0,2299,794,2431,3,9,2012,6,116,9642,27428,9015,15576,36588,21378,0.0
55000000,tt0146838,3,163.0,13584625,7,0,0,621,1079,2371,3,12,1999,16,1158,6941,6065,4512,134,1152,7200,17.822843761378564
25000000,tt0453451,3,90.0,9889780,8,4,0,2200,2431,0,3,3,2007,22,10730,16373,4286,5293,10841,16356,16360,17.034386422832473
0,tt1322264,3,92.0,7351,7,0,0,0,0,0,4,7,2010,30,59174,50095,18975,824,6832,131885,-1,0.0
36000000,tt0101373,3,189.0,118162,7,15,0,2299,2177,0,4,12,1991,6,13022,12074,589,18992,2887,40542,1310,17.399029524198163
75000000,tt0305224,3,106.0,42220847,4,0,0,480,1805,931,4,4,2003,11,19292,514,40481,3141,31717,13426,20821,18.132998684833918
60000000,tt0116705,3,89.0,12112267,8,4,0,2264,4,0,4,11,1996,15,1100,14104,57119,12931,33196,13581,52042,17.909855136853043
0,tt2609912,3,74.0,10030463,4,6,0,937,0,0,2,7,2013,3,55638,1174141,1174142,1174143,1320506,559968,92151,0.0
0,tt0097100,3,103.0,822123,7,12,16,83,2172,1655,4,11,1989,10,4690,32225,36926,43773,103874,114629,114629,0.0
40000000,tt0104691,3,112.0,10976661,1,2,7,1421,0,0,4,9,1992,25,11856,289,3203,57448,57449,638,638,17.50439003707821
13000000,tt0111127,3,95.0,2040450,4,5,12,1895,1676,0,2,4,1994,13,3391,8975,70233,26457,10826,10367,1809723,16.380459992348886
30000000,tt0417001,3,98.0,12855321,15,4,0,2115,2371,2281,3,7,2005,21,2882,3036,20,290,20212,70738,70738,17.216707972959764
0,tt3060492,3,100.0,2676,7,0,0,830,2063,2408,5,10,2014,11,234817,1099603,4730,83141,2372,234817,83141,0.0
0,tt1884457,3,93.0,1095,1,0,0,1663,1229,352,5,2,2013,9,77120,16644,60652,102744,86602,77295,51702,0.0
30000000,tt0104009,3,102.0,5556451,3,4,9,1602,1600,0,4,7,1992,10,326,5168,287,77012,77013,16384,49284,17.216707972959764
0,tt0108330,3,115.0,74425,7,0,0,2371,1155,0,4,4,1993,9,380,6193,6913,2955,53814,30365,1254,0.0
87000000,tt0329575,3,141.0,20854735,7,11,0,2299,2029,2162,1,7,2003,22,1229,37332,2955,2219,9281,23964,38269,18.28141868811311
28000000,tt1702439,3,115.0,21401594,15,0,0,2129,1789,0,3,2,2013,7,143240,19536,71189,76941,65423,5306,54419,17.147715103853763
60000000,tt0144214,3,116.0,22332053,5,7,14,1602,1279,1165,4,6,1999,18,8891,289,2505,16327,21474,12786,4611,17.909855136853043
30000000,tt1605783,3,94.0,599003,9,4,15,894,2122,2320,2,5,2011,11,887,53714,29685,91495,3968,1243,15607,17.216707972959764
19000000,tt0091778,3,91.0,12357190,12,17,0,1369,0,0,4,5,1986,23,8977,10080,10086,10085,10091,18069,10058,16.759949589762293
